name,rmse1,rmse_detrend1,rmse_detrend_Tissue1,rmse_detrend_Blood1,rmse_detrend_DGM1,rmse2,rmse_detrend2,rmse_detrend_Tissue2,rmse_detrend_Blood2,rmse_detrend_DGM2,algo_type
'cgkpZv3RQ0_Sim1_Step1.nii',58.9543,66.377464,93.871986,102.20419,26.013388,56.644836,62.010078,65.210167,120.44582,32.1506,Deep Learning
'CnXJHoQcOi_Sim1_Step1.nii.gz',66.237007,84.034157,134.30479,107.91492,31.316679,64.75444,84.721786,94.90303,167.32338,37.996376,Deep Learning
'CWfiMHI1ij_Sim1_Step1.nii',44.409229,46.119064,62.10611,80.592583,22.473949,36.259281,38.484982,39.441624,85.424759,25.118246,Spatial-domain iterative reconstruction
'CydoTpusUg_Sim1_Step1.nii',47.657288,52.731453,71.994164,87.657799,34.970959,35.831329,38.375278,39.540802,84.304543,28.781818,Deep Learning
'DavRub7513_Sim1_Step1.nii',59.761433,61.270535,84.954956,89.32196,27.092083,46.04287,49.317532,51.896248,96.674713,31.452198,Spatial-domain iterative reconstruction
'EODh2MXvXX_Sim1_Step1.nii.gz',44.234562,49.05809,69.679024,63.296993,21.342047,36.211124,38.827396,41.764595,58.83234,26.573338,Spatial-domain iterative reconstruction
'Fd14aCAFot_Sim1_Step1.nii',86.742111,93.001671,121.1046,131.93803,44.402905,77.925041,85.537994,92.34584,151.64537,53.179714,Spatial-domain iterative reconstruction
'FTAaNyeZiW_Sim1_Step1.nii',57.748711,66.712265,104.14153,94.363373,26.857199,63.070641,78.36499,89.624496,130.62596,40.948349,Deep Learning
'fubYYthC47_Sim1_Step1.nii',131.46248,85.630264,123.97127,115.47267,43.985149,116.03252,98.230919,111.79985,162.94337,58.893745,Deep Learning
'gwSYpFV9ir_Sim1_Step1.nii',56.316288,63.632183,87.836555,100.09692,28.212601,46.761597,52.753807,55.863934,112.83205,32.599522,Hybrid (multiple categories)
'HjMvpRmBnO_Sim1_Step1.nii',70.798836,85.995125,113.2629,149.49515,30.031218,70.294426,98.630859,107.46548,170.12094,56.770046,Spatial-domain iterative reconstruction
